x	y	p
807	152	255
808	152	255
807	153	255
809	153	255
807	154	255
806	155	255
807	155	255
811	155	255
805	156	255
810	156	255
811	156	255
804	157	255
813	157	255
803	158	255
804	158	255
802	159	255
803	159	255
800	160	255
801	160	255
802	160	255
798	161	255
799	161	255
814	161	255
797	162	255
798	162	255
808	162	255
809	162	255
795	163	255
796	163	255
805	163	255
806	163	255
792	164	255
798	164	255
804	164	255
805	164	255
789	166	255
790	166	255
797	166	255
788	167	255
789	167	255
793	167	255
794	167	255
798	167	255
800	167	255
787	168	255
788	168	255
796	168	255
797	168	255
798	168	255
784	169	255
785	169	255
786	169	255
790	169	255
787	170	255
789	170	255
790	170	255
780	171	255
781	171	255
787	171	255
788	171	255
790	171	255
777	172	255
780	172	255
781	172	255
788	172	255
789	172	255
790	172	255
776	173	255
779	173	255
780	173	255
774	174	255
775	174	255
776	174	255
778	174	255
773	175	255
777	175	255
771	176	255
772	176	255
779	176	255
780	176	255
770	177	255
771	177	255
778	177	255
768	178	255
769	178	255
774	178	255
775	178	255
777	178	255
766	179	255
772	179	255
776	179	255
763	180	255
764	180	255
770	180	255
771	180	255
772	180	255
773	180	255
763	181	255
769	181	255
761	182	255
762	182	255
765	182	255
769	182	255
762	183	255
765	183	255
766	183	255
767	183	255
768	183	255
760	184	255
762	184	255
765	184	255
766	184	255
764	185	255
755	186	255
764	186	255
753	187	255
754	187	255
758	187	255
763	187	255
764	187	255
752	188	255
753	188	255
754	188	255
759	188	255
760	188	255
761	188	255
750	189	255
756	189	255
757	189	255
758	189	255
749	190	255
750	190	255
746	191	255
747	191	255
749	191	255
745	192	255
746	192	255
744	193	255
745	193	255
746	193	255
753	193	255
742	194	255
743	194	255
747	194	255
740	195	255
743	195	255
747	195	255
749	195	255
741	196	255
744	196	255
746	196	255
747	196	255
738	197	255
739	197	255
736	198	255
737	198	255
738	198	255
739	198	255
743	198	255
744	198	255
736	199	255
737	199	255
740	199	255
741	199	255
734	200	255
735	200	255
732	201	255
733	201	255
731	202	255
732	202	255
737	202	255
729	203	255
730	203	255
733	203	255
734	203	255
737	203	255
729	204	255
730	204	255
731	204	255
734	204	255
737	204	255
726	205	255
727	205	255
728	205	255
734	205	255
736	205	255
725	206	255
726	206	255
724	207	255
725	207	255
722	208	255
723	208	255
724	208	255
732	208	255
722	209	255
723	209	255
718	212	255
718	213	255
719	213	255
722	213	255
723	213	255
720	214	255
722	214	255
723	214	255
713	215	255
714	215	255
719	215	255
721	215	255
714	216	255
719	216	255
721	216	255
715	217	255
719	217	255
720	217	255
715	218	255
719	218	255
716	219	255
713	220	255
708	221	255
713	221	255
707	222	255
713	222	255
712	223	255
713	223	255
710	224	255
711	224	255
709	226	255
700	227	255
707	227	255
699	228	255
702	228	255
707	228	255
697	230	255
698	230	255
703	230	255
696	231	255
697	231	255
698	231	255
702	231	255
699	232	255
701	232	255
702	232	255
699	233	255
700	233	255
699	234	255
692	235	255
693	236	255
694	236	255
695	237	255
693	238	255
694	238	255
692	239	255
693	239	255
687	240	255
688	241	255
689	241	255
690	241	255
684	243	255
688	243	255
689	243	255
684	244	255
685	244	255
687	244	255
689	244	255
682	245	255
687	245	255
688	245	255
689	245	255
682	246	255
687	246	255
684	247	255
685	247	255
686	247	255
683	248	255
678	249	255
682	249	255
683	249	255
678	250	255
679	250	255
673	256	255
674	256	255
675	256	255
672	257	255
676	257	255
677	257	255
668	262	255
670	262	255
665	263	255
666	263	255
665	264	255
672	264	255
662	267	255
662	268	255
660	269	255
661	269	255
660	270	255
664	271	255
665	271	255
665	272	255
663	273	255
663	274	255
655	277	255
659	277	255
660	277	255
654	278	255
655	278	255
658	278	255
660	278	255
653	279	255
654	279	255
658	279	255
653	280	255
652	281	255
653	281	255
654	281	255
651	282	255
652	282	255
653	282	255
649	283	255
650	283	255
652	283	255
656	283	255
657	283	255
650	284	255
651	284	255
652	284	255
656	284	255
657	284	255
657	285	255
642	286	255
643	286	255
644	286	255
648	286	255
650	286	255
641	287	255
644	287	255
650	287	255
654	287	255
641	288	255
644	288	255
650	288	255
651	288	255
652	288	255
653	288	255
640	289	255
642	289	255
645	289	255
646	289	255
652	289	255
643	290	255
646	290	255
647	290	255
648	290	255
649	290	255
637	291	255
638	291	255
643	291	255
646	291	255
636	292	255
638	292	255
644	292	255
646	292	255
647	292	255
638	293	255
642	293	255
644	293	255
637	294	255
638	294	255
640	294	255
641	294	255
642	294	255
647	294	255
642	295	255
646	295	255
636	296	255
638	296	255
643	296	255
644	296	255
645	296	255
646	296	255
638	297	255
645	297	255
639	298	255
640	299	255
635	300	255
638	300	255
642	300	255
643	300	255
635	301	255
636	301	255
640	301	255
642	301	255
641	302	255
635	303	255
636	303	255
631	304	255
636	304	255
630	305	255
637	305	255
629	306	255
638	306	255
639	306	255
629	307	255
632	307	255
636	307	255
638	307	255
628	308	255
629	308	255
630	308	255
635	308	255
636	308	255
637	308	255
627	310	255
628	310	255
630	310	255
626	311	255
627	311	255
630	311	255
632	311	255
627	312	255
628	312	255
629	312	255
634	312	255
627	313	255
624	314	255
628	314	255
630	314	255
624	315	255
630	315	255
632	315	255
633	315	255
623	316	255
629	316	255
630	316	255
632	316	255
625	317	255
631	317	255
632	317	255
625	318	255
631	318	255
622	320	255
624	321	255
625	321	255
624	322	255
626	322	255
627	322	255
627	324	255
621	325	255
624	325	255
625	325	255
626	325	255
627	325	255
624	326	255
619	327	255
619	328	255
623	328	255
618	329	255
619	329	255
623	329	255
617	330	255
619	331	255
620	331	255
616	332	255
618	332	255
619	334	255
616	335	255
619	335	255
611	338	255
611	339	255
612	339	255
615	339	255
616	339	255
613	340	255
615	340	255
617	340	255
610	342	255
608	344	255
608	345	255
609	345	255
613	345	255
614	345	255
607	346	255
608	346	255
612	347	255
612	348	255
604	350	255
604	351	255
603	352	255
604	352	255
603	353	255
602	355	255
601	356	255
606	356	255
607	356	255
602	357	255
603	358	255
604	358	255
604	359	255
598	361	255
599	361	255
598	362	255
597	363	255
596	364	255
597	364	255
597	365	255
597	366	255
598	366	255
601	366	255
602	366	255
596	367	255
598	367	255
601	367	255
601	368	255
594	369	255
601	369	255
593	370	255
594	370	255
594	371	255
595	371	255
596	371	255
593	372	255
596	372	255
599	372	255
592	373	255
594	373	255
595	374	255
595	375	255
589	377	255
589	378	255
588	381	255
587	382	255
590	382	255
584	386	255
584	387	255
585	387	255
586	387	255
586	388	255
587	389	255
588	389	255
583	390	255
588	390	255
583	391	255
586	393	255
580	395	255
579	396	255
583	397	255
583	398	255
579	400	255
576	403	255
577	404	255
579	404	255
580	404	255
574	407	255
574	408	255
579	408	255
578	411	255
572	413	255
571	414	255
572	414	255
571	415	255
570	416	255
571	416	255
568	419	255
568	420	255
571	422	255
570	423	255
571	423	255
567	424	255
565	427	255
564	428	255
564	429	255
566	431	255
566	432	255
568	432	255
566	433	255
561	436	255
564	439	255
559	441	255
559	442	255
562	442	255
563	442	255
557	443	255
559	443	255
561	443	255
558	444	255
557	445	255
558	445	255
559	445	255
560	445	255
561	446	255
556	447	255
558	447	255
559	447	255
560	447	255
561	447	255
555	448	255
556	448	255
558	448	255
556	449	255
558	449	255
553	453	255
557	455	255
557	458	255
555	460	255
555	461	255
549	462	255
547	468	255
551	468	255
548	469	255
549	469	255
550	469	255
544	472	255
545	474	255
549	474	255
547	475	255
548	475	255
535	492	255
534	496	255
537	496	255
537	497	255
533	498	255
532	499	255
533	499	255
535	507	255
537	507	255
531	509	255
534	509	255
535	509	255
527	511	255
527	512	255
532	512	255
527	513	255
535	515	255
528	516	255
524	518	255
525	518	255
524	519	255
523	520	255
524	520	255
523	521	255
528	521	255
529	521	255
523	522	255
525	527	255
526	527	255
524	528	255
525	528	255
520	529	255
521	529	255
523	530	255
518	533	255
518	534	255
519	534	255
520	535	255
521	535	255
516	539	255
519	539	255
515	540	255
514	544	255
513	545	255
514	545	255
511	550	255
510	552	255
504	564	255
503	570	255
504	570	255
501	572	255
501	573	255
503	573	255
498	578	255
498	579	255
497	580	255
497	583	255
496	584	255
497	584	255
495	585	255
491	592	255
487	598	255
488	598	255
487	599	255
490	604	255
487	613	255
484	621	255
475	622	255
476	622	255
473	625	255
473	626	255
472	627	255
470	632	255
470	633	255
474	633	255
472	634	255
473	635	255
467	637	255
472	637	255
467	638	255
468	639	255
464	642	255
464	643	255
462	646	255
463	646	255
462	647	255
462	648	255
461	649	255
460	650	255
460	651	255
460	652	255
459	653	255
458	654	255
459	656	255
456	657	255
459	657	255
460	657	255
455	659	255
458	660	255
454	661	255
456	661	255
453	662	255
459	662	255
452	665	255
451	666	255
452	666	255
456	666	255
451	667	255
451	668	255
458	668	255
450	669	255
449	670	255
450	670	255
453	671	255
454	671	255
448	672	255
449	672	255
450	672	255
451	672	255
452	672	255
455	672	255
448	673	255
447	674	255
446	676	255
449	679	255
449	680	255
443	681	255
443	682	255
442	683	255
443	683	255
445	684	255
446	684	255
440	685	255
440	686	255
445	686	255
443	688	255
438	689	255
439	689	255
443	689	255
438	690	255
441	690	255
437	691	255
440	691	255
441	691	255
435	694	255
435	695	255
436	699	255
431	700	255
437	701	255
430	702	255
435	702	255
436	702	255
429	703	255
430	703	255
429	704	255
432	704	255
434	704	255
428	705	255
429	705	255
435	705	255
428	706	255
427	707	255
426	708	255
427	708	255
432	708	255
430	709	255
431	709	255
429	711	255
429	712	255
423	713	255
422	714	255
422	715	255
420	717	255
421	717	255
